subjectID,stage,position,mean_angle,angle_sd,angle_variance
lo01,1,HEAD,78.0161769105387,8.149875540737238,66.42047132950708
lo01,2,HEAD,79.33775191278222,4.477276558727724,20.046005383332773
lo01,3,HEAD,78.64665634830075,5.615737047356704,31.536502585054585
lo01,4,HEAD,78.70489736413629,6.1061824964374205,37.28546467979873
lo01,5,HEAD,78.0546087243368,5.44840271136961,29.685092105259717
lo01,6,HEAD,84.19058140523597,3.218485413198293,10.358648354970187
lo01,7,HEAD,81.30022859743065,1.4826817205633398,2.198345084492666
lo01,8,HEAD,83.1166846922858,2.396273485282114,5.7421266162660904
lo01,9,HEAD,80.131953205035785,2.4774565773364343,6.137791092587559
lo01,10,HEAD,50.664101483465124,13.50198870835863,182.30369908064395
lo01,1,PELVIS,65.24467848540876,0.8577248173342913,0.7356918622711434
lo01,2,PELVIS,61.57829730414181,1.7491176323161335,3.0594124916791965
lo01,3,PELVIS,62.439389075144625,1.2898548895115525,1.6637256359968593
lo01,4,PELVIS,64.65382907229407,1.7512765734152005,3.0669696365928862
lo01,5,PELVIS,65.23584401465715,1.2266454054326654,1.5046589506690682
lo01,6,PELVIS,64.42523662376487,1.2111984235881665,1.4670016213024597
lo01,7,PELVIS,63.97524150369115,1.1174183266129445,1.2486237166504732
lo01,8,PELVIS,62.14061777881995,1.7408020543548324,3.030391792446005
lo01,9,PELVIS,58.05739069188707,2.10213380336958,4.418966527269055
lo01,10,PELVIS,56.84657947481682,6.700748426923288,44.90002948091492
lo01,1,TORSO,42.82319453631499,1.4808960433260805,2.1930530911388404
lo01,2,TORSO,44.68283663311633,2.551712691500043,6.511237659962395
lo01,3,TORSO,43.83269273711604,2.559418472677401,6.55062291828232
lo01,4,TORSO,45.19883248913528,3.1920597799889485,10.189245639023095
lo01,5,TORSO,42.699161727490626,1.7499591245307884,3.0623569375285635
lo01,6,TORSO,42.77811783905685,1.9044936307287217,3.6270959894862687
lo01,7,TORSO,42.04177163836198,1.9021699345841916,3.6182504600360277
lo01,8,TORSO,40.05922099363423,3.8262245138456747,14.63999403035357
lo01,9,TORSO,31.880487168828022,4.007728617592583,16.061888672270555
lo01,10,TORSO,35.56007544254549,8.373818136516194,70.12083018344755
lo04,1,HEAD,81.90074039933079,1.6628963350968264,2.7652242212784572
lo04,2,HEAD,83.16805048610793,0.8973380534482867,0.8052155821663602
lo04,3,HEAD,82.51692859755144,1.2309702514027614,1.5152877598385774
lo04,4,HEAD,83.30746396766182,1.5655564460626523,2.4509669858083223
lo04,5,HEAD,82.95357678148574,0.8378454178696969,0.7019849442452469
lo04,6,HEAD,82.86337831150212,0.7540435231958019,0.5685816348735379
lo04,7,HEAD,82.68276669305443,2.2222728562897243,4.93849664780209
lo04,8,HEAD,73.668665431677,2.915848867171387,8.50217461618466
lo04,1,PELVIS,57.354607849172396,0.6028029113956425,0.36337134998706283
lo04,2,PELVIS,58.98406927825147,0.5984944601303395,0.35819561880670653
lo04,3,PELVIS,58.81552980665724,0.5803282052971321,0.3367808258633903
lo04,4,PELVIS,58.377350192394026,1.0047246250096058,1.0094715721006928
lo04,5,PELVIS,57.793890219860224,0.4668267177859171,0.2179271844387723
lo04,6,PELVIS,56.81458222882383,0.4386699109328163,0.192431290757805
lo04,7,PELVIS,54.87852071820424,1.390138948266031,1.9324862954861863
lo04,8,PELVIS,53.80456002320917,1.2659459987727715,1.60261927180879
lo04,1,TORSO,38.44300553317648,1.76469513703005,3.1141489266575073
lo04,2,TORSO,38.73310819633918,1.6046096908673948,2.574772260025556
lo04,3,TORSO,38.6743662222319,2.124000283331071,4.511377203590471
lo04,4,TORSO,38.75342408997077,2.611828601614162,6.82164864420979
lo04,5,TORSO,36.8926173171737,2.2072737680415027,4.872057487084134
lo04,6,TORSO,36.24721633802229,2.2356308838407086,4.998045448782388
lo04,7,TORSO,33.53690066934797,2.4723927894779028,6.112726105462325
lo04,8,TORSO,25.69037828107452,3.604243072718236,12.990568127237392
lo09,1,HEAD,83.59748997282045,3.276589284334555,10.73603733821603
lo09,2,HEAD,81.06933156567935,2.9518167340536063,8.713222031438898
lo09,3,HEAD,85.25870437397252,1.6784387790588031,2.817156735048406
lo09,4,HEAD,84.7587626754825,1.5629871334415084,2.4429287793037036
lo09,5,HEAD,84.22468197184745,1.3084224724282933,1.7119693663553683
lo09,6,HEAD,82.2489643043116,7.598607576837148,57.73883710676692
lo09,1,PELVIS,62.88502513618772,0.7324303671715042,0.5364542427549845
lo09,2,PELVIS,60.234684967150194,0.6658055314671003,0.44329700573218794
lo09,3,PELVIS,59.220601891048986,0.4194964920695366,0.1759773068586468
lo09,4,PELVIS,58.38466543284556,0.7746104218307615,0.6000213056088302
lo09,5,PELVIS,56.6007002138666,0.6271870570180984,0.3933636044910234
lo09,6,PELVIS,58.40630533123215,0.7803747182721616,0.6089847009183557
lo09,1,TORSO,56.107307089052576,2.7997814577397975,7.838776211103586
lo09,2,TORSO,51.69201196252024,2.7784904075626726,7.720008944917787
lo09,3,TORSO,49.103546201452204,3.227678694379229,10.417909754149603
lo09,4,TORSO,48.57691049438874,3.4082924431805375,11.616457378241558
lo09,5,TORSO,47.84872525657511,3.1887594667311947,10.168186936667814
lo09,6,TORSO,47.0468646377922,3.1787337261029047,10.104348101464057
lo11,1,HEAD,84.88754179848827,3.0625314059608426,9.379098612496495
lo11,2,HEAD,79.42451606972502,5.923278756030299,35.08523122163984
lo11,3,HEAD,83.67715369103358,3.838938442182582,14.737448362867227
lo11,4,HEAD,82.53413394804768,3.736698089300818,13.962912610584384
